node_id,floor_id,node_type,x,y,location_id,source_svg_id
G31,G,room,345.955990,1222.841800,G31,G31
G30,G,room,325.575620,1261.673100,G30,G30
G28,G,room,490.610530,1242.278100,G28,G28
ellipse10,G,corridor,560.995180,1310.724900,,ellipse10
G32,G,room,344.001950,1049.908600,G32,G32
G41-1,G,room,506.335140,1097.294200,G41,G41-1
G33,G,room,345.956020,721.628660,G33,G33
G34,G,room,344.979000,554.557620,G34,G34
G35,G,room,329.346620,406.050020,G35,G35
G37-2,G,room,513.515560,429.987090,G37,G37-2
G37-1,G,room,514.981080,568.235900,G37,G37-1
G39,G,room,463.198820,719.674560,G39,G39
G41-2,G,room,516.007200,1187.796900,G41,G41-2
LIFT1-G,G,lift,528.903630,1039.649800,,LIFT1-G
LIFT2-G,G,lift,529.636410,624.170470,,LIFT2-G
LIFT3-G,G,lift,413.126400,416.308780,,LIFT3-G
STAIRS3-G,G,stair,484.449130,364.282260,,STAIRS3-G
STAIRS1,G,stair,558.702820,931.688660,,STAIRS1
STAIRS2-G,G,stair,558.458620,728.711980,,STAIRS2-G
ENTRANCE1-G,G,corridor,798.073610,830.078190,,ENTRANCE1-G
ENTRANCE2-G,G,corridor,234.237900,830.785400,,ENTRANCE2-G
ellipse28,G,corridor,711.607060,829.833920,,ellipse28
ellipse31,G,corridor,710.630070,970.036870,,ellipse31
ellipse32,G,corridor,705.256410,689.631040,,ellipse32
ellipse33,G,corridor,527.438110,971.013790,,ellipse33
ellipse34,G,corridor,527.926640,685.234380,,ellipse34
ellipse35,G,corridor,526.949580,887.478270,,ellipse35
ellipse36,G,corridor,524.507020,769.746950,,ellipse36
ellipse37,G,corridor,372.196930,884.714840,,ellipse37
ellipse38,G,corridor,370.815220,1049.139500,,ellipse38
ellipse43,G,corridor,489.627560,1062.737900,,ellipse43
ellipse44,G,corridor,489.334170,593.882690,,ellipse44
ellipse45,G,corridor,491.532470,430.475490,,ellipse45
ellipse46,G,corridor,486.403110,399.454990,,ellipse46
ellipse47,G,corridor,376.976470,399.454990,,ellipse47
ellipse48,G,corridor,374.045410,554.801760,,ellipse48
ellipse49,G,corridor,373.068390,719.918760,,ellipse49
ellipse50,G,corridor,375.022460,769.746950,,ellipse50
ellipse52,G,corridor,351.573880,830.078310,,ellipse52
ellipse53,G,corridor,478.880310,1176.072600,,ellipse53
ellipse54,G,corridor,364.656560,1220.638200,,ellipse54
ellipse55,G,corridor,358.794430,1262.650100,,ellipse55
G29,G,room,356.840390,1323.225600,G29,G29
ellipse14309,G,corridor,504.427730,1225.697500,,ellipse14309
ellipse14310,G,corridor,576.539490,1301.398200,,ellipse14310
ellipse14311,G,corridor,595.883610,1277.563500,,ellipse14311
ellipse14321,G,corridor,491.532470,566.770260,,ellipse14321
ellipse14323,G,corridor,413.126340,398.477970,,ellipse14323
ellipse14329,G,corridor,411.656590,719.537540,,ellipse14329
