node_id,floor_id,node_type,x,y,location_id,source_svg_id
131,F1,room,490.610530,1242.278100,131,131
132,F1,room,356.840390,1323.225600,132,132
133,F1,room,325.575620,1261.673100,133,133
134,F1,room,345.955990,1222.841800,134,134
135,F1,room,344.001950,1049.908600,135,135
136,F1,room,344.000000,884.714840,136,136
137,F1,room,345.956020,721.628660,137,137
138,F1,room,344.979000,554.557620,138,138
139,F1,room,329.346620,406.050020,139,139
140,F1,room,510.000000,399.454990,140,140
141-1,F1,room,514.981080,568.235900,141,141-1
141-2,F1,room,513.515560,429.987090,141,141-2
143-A,F1,room,463.198820,594.000000,143-A,143-A
143,F1,room,463.198820,719.674560,143,143
145-1,F1,room,506.335140,1097.294200,145,145-1
145-2,F1,room,516.007200,1187.796900,145,145-2
LIFT1-F1,F1,lift,413.126400,416.308780,,LIFT1-F1
LIFT2-F1,F1,lift,529.636410,624.170470,,LIFT2-F1
LIFT3-F1,F1,lift,528.903630,1039.649800,,LIFT3-F1
STAIRS3-F1,F1,stair,484.449130,364.282260,,STAIRS3-F1
STAIRS2-F1,F1,stair,558.458620,728.711980,,STAIRS2-F1
STAIRS1-F1,F1,stair,558.702820,931.688660,,STAIRS1-F1
ellipse10,F1,corridor,560.995180,1310.724900,,ellipse10
ellipse28,F1,corridor,711.607060,829.833920,,ellipse28
ellipse31,F1,corridor,710.630070,970.036870,,ellipse31
ellipse32,F1,corridor,705.256410,689.631040,,ellipse32
ellipse33,F1,corridor,527.438110,971.013790,,ellipse33
ellipse34,F1,corridor,527.926640,685.234380,,ellipse34
ellipse35,F1,corridor,526.949580,887.478270,,ellipse35
ellipse36,F1,corridor,524.507020,769.746950,,ellipse36
ellipse37,F1,corridor,372.196930,884.714840,,ellipse37
ellipse38,F1,corridor,370.815220,1049.139500,,ellipse38
ellipse43,F1,corridor,489.627560,1062.737900,,ellipse43
ellipse44,F1,corridor,489.334170,593.882690,,ellipse44
ellipse45,F1,corridor,491.532470,430.475490,,ellipse45
ellipse46,F1,corridor,486.403110,399.454990,,ellipse46
ellipse47,F1,corridor,376.976470,399.454990,,ellipse47
ellipse48,F1,corridor,374.045410,554.801760,,ellipse48
ellipse49,F1,corridor,373.068390,719.918760,,ellipse49
ellipse50,F1,corridor,375.022460,769.746950,,ellipse50
ellipse52,F1,corridor,351.573880,830.078310,,ellipse52
ellipse53,F1,corridor,478.880310,1176.072600,,ellipse53
ellipse54,F1,corridor,364.656560,1220.638200,,ellipse54
ellipse55,F1,corridor,358.794430,1262.650100,,ellipse55
ellipse14309,F1,corridor,504.427730,1225.697500,,ellipse14309
ellipse14310,F1,corridor,576.539490,1301.398200,,ellipse14310
ellipse14311,F1,corridor,595.883610,1277.563500,,ellipse14311
ellipse14321,F1,corridor,491.532470,566.770260,,ellipse14321
ellipse14323,F1,corridor,413.126340,398.477970,,ellipse14323
