edge_id,floor_id,from_node,to_node,distance_m,edge_type,accessible,bidirectional
E0001,F3,W0,W1,2.3812,corridor,1,1
E0002,F3,W1,W2,3.9687,corridor,1,1
E0003,F3,W2,W3,3.9687,corridor,1,1
E0004,F3,W3,WC,2.5135,corridor,1,1
E0005,F3,WC,W4,1.4552,corridor,1,1
E0006,F3,W4,W5,3.4396,corridor,1,1
E0007,F3,W5,W6,2.5135,corridor,1,1
E0008,F3,W6,W7,1.4552,corridor,1,1
E0009,F3,335,W0,0.2646,room_access,1,1
E0010,F3,334,W1,0.2646,room_access,1,1
E0011,F3,333,W2,0.2646,room_access,1,1
E0012,F3,332,W3,0.2646,room_access,1,1
E0013,F3,330,W4,0.2646,room_access,1,1
E0014,F3,329,W5,0.2646,room_access,1,1
E0015,F3,328,W6,1.1906,room_access,1,1
E0016,F3,327,W7,0.9922,room_access,1,1
E0017,F3,331,W4,0.6615,room_access,1,1
E0018,F3,W0,CT,1.0666,corridor,1,1
E0019,F3,CT,STAIRS3-F3,0.8549,stair,0,1
E0020,F3,CT,LIFT1-F3,1.2480,lift,1,1
E0021,F3,CT,T1,2.1167,corridor,1,1
E0022,F3,T1,E1,3.0427,corridor,1,1
E0023,F3,E1,E0,2.8893,corridor,1,1
E0024,F3,E0,336,0.9477,room_access,1,1
E0025,F3,E1,337,0.6615,room_access,1,1
E0026,F3,E1,E2,3.8365,corridor,1,1
E0027,F3,E2,E3,1.8521,corridor,1,1
E0028,F3,E3,E4,3.0427,corridor,1,1
E0029,F3,E4,EC,1.0583,corridor,1,1
E0030,F3,EC,E5,1.9844,corridor,1,1
E0031,F3,E2,LIFT2-F3,0.6615,lift,1,1
E0032,F3,E3,STAIRS2-F3,0.6615,stair,0,1
E0033,F3,E4,339,0.5292,room_access,1,1
E0034,F3,E5,STAIRS1-F3,0.6615,stair,0,1
E0035,F3,WC,EC,3.5719,corridor,1,1
E0036,F3,E5,Q0,2.0407,corridor,1,1
E0037,F3,Q0,Q1,1.1906,corridor,1,1
E0038,F3,Q1,LIFT3-F3,0.1543,lift,1,1
E0039,F3,Q1,Q2,1.5983,corridor,1,1
E0040,F3,Q2,341,0.4770,room_access,1,1
