edge_id,floor_id,from_node,to_node,distance_m,edge_type,accessible,bidirectional
E0001,F4,F4C010,F4C008,4.9416,corridor,1,1
E0002,F4,F4C008,F4C007,3.7029,corridor,1,1
E0003,F4,F4C007,F4C434A,2.0643,corridor,1,1
E0004,F4,F4C434A,F4C009,1.6416,corridor,1,1
E0005,F4,F4C009,F4C011,4.7841,corridor,1,1
E0006,F4,F4C010,F4C012,2.2061,corridor,1,1
E0007,F4,F4C012,F4C013,3.1096,corridor,1,1
E0008,F4,F4C013,F4C011,2.2343,corridor,1,1
E0009,F4,F4C012,STAIRS1-F4,1.4445,stair,0,1
E0010,F4,F4C010,STAIRS1-F4,1.3412,stair,0,1
E0011,F4,F4C013,STAIRS2-F4,1.4224,stair,0,1
E0012,F4,F4C011,STAIRS2-F4,1.4096,stair,0,1
E0013,F4,F4C012,F4C014,4.1746,corridor,1,1
E0014,F4,F4C014,F4C023,3.0376,corridor,1,1
E0015,F4,F4C023,F4C022,1.3167,corridor,1,1
E0016,F4,F4C022,427,0.7330,room_access,1,1
E0017,F4,F4C013,F4C023,4.0322,corridor,1,1
E0018,F4,F4C010,LIFT3-F4,1.8129,lift,1,1
E0019,F4,F4C010,F4C016,2.6331,corridor,1,1
E0020,F4,F4C016,F4C025,3.0086,corridor,1,1
E0021,F4,F4C025,F4C026,3.3038,corridor,1,1
E0022,F4,F4C026,424,0.5081,room_access,1,1
E0023,F4,F4C026,F4C027,1.1215,corridor,1,1
E0024,F4,F4C027,423,0.8963,room_access,1,1
E0025,F4,F4C027,422,1.6009,room_access,1,1
E0026,F4,F4C026,F4C015,4.5331,corridor,1,1
E0027,F4,F4C015,425,0.7237,room_access,1,1
E0028,F4,F4C015,F4C014,4.3427,corridor,1,1
E0029,F4,F4C025,F4C002,1.4776,corridor,1,1
E0030,F4,F4C002,421,0.5765,room_access,1,1
E0031,F4,F4C002,F4C004,2.8156,corridor,1,1
E0032,F4,F4C004,F4C003,0.8197,corridor,1,1
E0033,F4,F4C003,F4C001,0.4874,corridor,1,1
E0034,F4,F4C011,LIFT2-F4,1.6136,lift,1,1
E0035,F4,F4C011,F4C017,2.6227,corridor,1,1
E0036,F4,F4C017,F4C005,0.7188,corridor,1,1
E0037,F4,F4C005,F4C018,3.5995,corridor,1,1
E0038,F4,F4C018,F4C019,0.8301,corridor,1,1
E0039,F4,F4C019,STAIRS3-F4,0.9301,stair,0,1
E0040,F4,F4C019,F4C006,1.9766,corridor,1,1
E0041,F4,F4C006,LIFT1-F4,0.4709,lift,1,1
E0042,F4,F4C006,F4C020,0.9756,corridor,1,1
E0043,F4,F4C020,430,1.2974,room_access,1,1
E0044,F4,F4C020,431,3.5882,room_access,1,1
E0045,F4,F4C020,F4C021,4.1038,corridor,1,1
E0046,F4,F4C021,429,0.7840,room_access,1,1
E0047,F4,F4C021,F4C022,4.3609,corridor,1,1
E0048,F4,F4C014,426,0.7606,room_access,1,1
E0049,F4,F4C023,F4C024,1.7173,corridor,1,1
E0050,F4,F4C024,F4C014,1.5438,corridor,1,1
E0051,F4,434-1,F4C013,0.6598,room_access,1,1
E0052,F4,F4C022,428-1,0.3957,room_access,1,1
E0053,F4,428-2,F4C428R,0.7302,room_access,1,1
E0054,F4,F4C428R,F4C011,1.3247,corridor,1,1
E0055,F4,F4C428R,F4C013,1.5735,corridor,1,1
E0056,F4,F4C018,432-1,0.1420,room_access,1,1
E0057,F4,F4C005,432-2,0.2208,room_access,1,1
E0058,F4,F4C012,434-2,0.6408,room_access,1,1
E0059,F4,434-A,F4C434A,0.2381,room_access,1,1
E0060,F4,F4C016,F4C436,0.9764,corridor,1,1
E0061,F4,F4C436,F4C025,2.0414,corridor,1,1
E0062,F4,F4C436,436-1,0.3492,room_access,1,1
E0063,F4,F4C025,436-2,0.6616,room_access,1,1
